"Reg Saúde (CIR)/Municíp Res";"Em Branco";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Total"
"31011 Três Pontas";-;9;24;28;63;134;219;292;472;440;767;916;1331;1104;1361;1568;1976;1896;1672;2269;1768;1506;876;1004;1009;678;452;60;166;137;32;17;16;35;36;46;24;37;50;31;12;25;4;-;24562
".....  BOA ESPERANCA";-;3;13;17;47;83;150;107;258;231;430;397;503;417;570;542;740;763;450;779;637;739;451;765;824;471;227;13;22;21;17;14;7;2;9;7;4;3;4;2;4;3;-;-;10746
".....  TRES PONTAS";-;1;7;7;11;23;37;72;112;96;177;286;429;417;569;778;873;865;928;1107;871;559;314;195;156;199;217;46;142;116;14;2;9;31;27;39;20;34;46;29;8;19;4;-;9892
".....  ILICINEA";-;3;1;1;4;17;22;99;78;76;104;162;277;116;81;67;143;84;132;184;122;85;18;12;8;-;4;1;2;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;1906
".....  SANTANA DA VARGEM";-;1;2;-;1;5;-;8;1;13;26;46;63;73;62;92;99;59;62;80;50;53;33;11;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;846
".....  COQUEIRAL";-;1;1;3;-;6;10;6;23;24;30;25;59;81;79;89;121;125;100;119;88;70;60;21;15;8;4;-;-;-;1;1;-;2;-;-;-;-;-;-;-;-;-;-;1172
"31012 Varginha";-;174;298;475;799;1019;1395;2139;3322;3434;4316;5326;6287;5602;4783;5216;4154;3250;2649;2593;2104;1829;1034;804;556;454;351;224;182;127;90;81;44;41;95;86;92;46;114;139;66;52;13;-;65855
".....  CORDISLANDIA";-;-;-;-;-;1;1;2;3;1;10;22;23;31;34;22;33;18;26;46;-;71;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;346
".....  MONSENHOR PAULO";-;6;2;4;6;1;20;10;21;23;51;63;76;60;60;69;72;21;38;3;1;2;-;1;-;1;2;1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;616
".....  SAO GONCALO DO SAPUCAI";-;1;-;2;2;4;17;27;45;88;109;192;230;261;331;489;471;527;380;250;257;117;81;39;18;26;6;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;8;-;3980
".....  VARGINHA";-;163;290;461;768;962;1289;2021;3092;3133;3885;4668;5376;4742;3970;3935;3050;2142;1814;1849;1564;1334;798;668;484;399;331;216;178;122;84;73;42;39;94;82;91;45;111;138;65;51;4;-;54623
".....  ELOI MENDES";-;4;5;6;8;13;21;26;82;72;98;122;120;114;120;326;274;321;212;312;153;224;126;70;43;18;12;5;-;2;2;6;1;1;-;4;1;1;3;1;-;-;-;-;2929
".....  CAMPANHA";-;-;1;2;15;38;47;53;79;117;163;259;462;394;268;375;254;221;179;133;129;81;29;26;11;10;-;2;4;3;4;1;-;1;-;-;-;-;-;-;-;-;-;-;3361
"31013 Barbacena";-;16;29;53;180;363;575;864;1123;1526;1511;1739;1657;1471;1747;2061;1804;1688;1309;1410;1198;1069;647;561;327;311;218;153;120;73;28;24;17;12;2;6;6;9;5;5;6;1;3;-;25927
".....  RESSAQUINHA";-;-;-;-;1;4;3;7;8;9;13;21;25;32;45;45;33;27;27;17;12;4;18;8;5;12;2;-;-;1;-;-;-;-;-;-;1;-;2;-;-;-;-;-;382
".....  ANTONIO CARLOS";-;3;1;6;14;24;39;32;55;122;87;85;82;55;96;104;45;48;50;60;54;37;31;15;4;11;3;4;5;2;-;3;1;-;-;-;1;-;-;-;1;-;1;-;1181
".....  ALTO RIO DOCE";-;-;6;1;26;49;37;79;63;14;25;22;24;21;35;75;76;65;28;35;21;18;6;10;14;5;6;2;5;6;3;1;2;-;-;-;-;-;-;-;-;-;-;-;780
".....  PAIVA";-;-;-;-;8;22;15;23;40;31;20;28;22;11;18;38;49;33;39;27;20;16;10;11;5;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;490
".....  SANTA BARBARA DO TUGURIO";-;1;1;2;1;5;3;6;10;25;20;22;24;38;16;19;17;7;6;3;2;2;1;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;235
".....  CIPOTANEA";-;-;-;-;3;21;25;51;84;56;70;96;91;97;73;73;45;38;26;19;13;9;3;3;3;1;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;903
".....  IBERTIOGA";-;-;-;-;-;4;4;6;3;13;7;15;35;31;45;75;81;60;60;56;55;43;16;7;4;10;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;631
".....  DESTERRO DO MELO";-;-;-;-;-;-;1;-;1;1;10;3;3;1;15;9;5;1;8;6;4;-;3;1;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;75
".....  BARBACENA";-;10;14;36;113;182;316;526;673;922;979;1096;995;782;1028;1187;1080;958;732;861;755;722;460;428;227;190;152;82;72;46;19;18;12;11;2;4;3;8;1;3;2;-;1;-;15708
".....  SENHORA DOS REMEDIOS";-;-;-;-;-;3;7;8;11;10;12;7;8;12;17;11;5;13;9;20;19;5;-;3;3;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;189
".....  SANTANA DO GARAMBEU";-;-;-;-;-;-;-;3;1;-;1;2;1;-;8;5;4;2;-;1;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33
".....  CAPELA NOVA";-;-;-;1;-;2;6;5;13;84;27;76;37;49;43;36;17;56;34;20;24;10;2;5;5;1;3;7;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;567
".....  SANTA RITA DE IBITIPOCA";-;-;-;-;-;-;-;2;4;6;1;4;3;1;1;5;4;-;4;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;38
".....  CARANDAI";-;-;6;7;12;26;74;81;104;175;177;175;213;238;222;287;275;312;206;233;155;160;64;46;41;60;48;56;33;14;1;-;2;1;-;1;-;-;1;1;2;-;-;-;3509
".....  ALFREDO VASCONCELOS";-;2;1;-;2;21;45;35;53;58;62;87;94;103;85;92;68;68;80;51;61;40;33;20;15;13;1;1;2;3;2;2;-;-;-;-;1;1;-;1;1;1;1;-;1206
"31015 São João Del Rei";-;492;930;1333;1779;2079;2684;2478;3677;3678;3822;4183;4407;3231;2637;2703;1985;1501;1181;1068;831;626;315;187;95;146;81;45;47;28;14;20;13;14;30;16;14;21;13;7;10;9;11;-;48441
".....  DORES DE CAMPOS";-;10;46;56;40;50;44;40;221;289;307;241;206;139;181;62;55;10;25;25;15;9;1;3;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2078
".....  CONCEICAO DA BARRA DE MINAS";-;-;3;4;2;4;19;24;28;30;39;34;50;35;57;47;16;29;9;19;11;12;1;-;2;-;2;-;1;-;1;2;-;-;1;-;-;-;-;-;-;-;-;-;482
".....  MADRE DE DEUS DE MINAS";-;-;-;-;9;11;28;24;36;55;49;201;88;45;143;143;132;68;36;33;19;10;2;1;2;1;4;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1144
".....  SAO JOAO DEL REI";-;125;222;400;704;900;1082;1053;1603;1676;1687;1841;1895;1223;984;1194;782;532;342;301;306;192;93;93;49;59;41;23;20;16;10;10;7;6;3;6;7;11;1;1;2;5;1;-;19508
".....  SAO TIAGO";-;3;3;4;12;15;25;26;44;20;27;20;21;24;34;30;50;55;57;43;58;36;26;19;10;3;2;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;669
".....  TIRADENTES";-;4;12;15;43;61;109;132;165;157;223;232;259;223;196;209;103;59;57;47;22;30;9;7;1;6;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2382
".....  BARROSO";-;238;510;598;608;569;748;513;660;498;349;282;313;196;129;98;68;124;81;54;83;65;33;20;17;22;11;9;13;10;2;4;4;5;7;9;7;9;11;5;7;3;8;-;7000
".....  LAGOA DOURADA";-;-;-;5;12;27;28;25;40;101;92;129;93;105;78;68;20;8;3;2;1;4;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;845
".....  SANTA CRUZ DE MINAS";-;79;73;115;153;120;164;97;134;160;116;101;72;44;38;31;14;9;-;1;2;1;1;1;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1529
".....  RITAPOLIS";-;-;-;3;10;19;15;34;39;57;71;71;140;110;58;76;83;60;37;28;12;17;6;5;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;953
".....  CORONEL XAVIER CHAVES";-;-;2;5;17;38;27;45;66;30;90;77;75;58;29;45;24;10;11;7;2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;661
".....  RESENDE COSTA";-;1;2;11;11;43;33;62;68;69;72;187;209;166;57;51;69;91;217;233;130;128;39;4;-;37;4;2;-;-;-;-;2;1;-;1;-;-;-;-;-;-;-;-;2000
".....  PRADOS";-;-;-;14;31;25;65;80;105;82;21;99;92;83;98;42;30;83;69;14;15;8;67;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1126
".....  NAZARENO";-;22;38;82;61;118;169;168;196;105;56;50;68;8;2;8;7;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1161
".....  SAO VICENTE DE MINAS";-;3;2;3;11;3;12;51;63;86;130;112;165;188;148;159;130;112;73;88;56;29;9;12;1;2;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1651
".....  IBITURUNA";-;-;-;-;8;2;4;3;21;38;112;49;95;67;21;1;-;2;2;2;-;-;-;-;2;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;446
".....  BOM SUCESSO";-;7;12;16;29;47;72;69;114;134;296;347;406;354;303;350;310;183;110;116;57;47;19;22;8;11;9;1;4;2;-;3;-;-;1;-;-;-;1;1;-;-;1;-;3462
".....  PIEDADE DO RIO GRANDE";-;-;5;2;18;27;40;32;74;91;85;110;160;163;81;89;92;64;52;55;42;35;8;-;3;4;4;3;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1344
"31016 Belo Horizonte/Nova Lima/Santa Luzia";-;2146;3895;6202;11276;18072;23811;23823;34069;35314;34334;32774;31647;23955;23562;19879;15365;12154;9204;7328;5535;4161;2805;2100;1556;1528;1050;1026;631;412;374;271;365;251;373;281;298;263;284;301;349;206;105;2;393337
".....  RAPOSOS";-;2;7;16;20;24;44;59;83;109;86;77;119;168;148;189;135;128;90;86;64;39;23;31;17;17;5;5;6;3;7;4;-;2;1;1;-;-;2;-;5;1;-;-;1823
".....  RIBEIRAO DAS NEVES";-;276;504;700;1668;2498;3138;3634;4355;4420;4038;3787;3724;2432;2098;1731;1428;1187;1025;852;612;441;337;277;165;148;119;97;51;52;32;24;27;26;40;39;45;29;30;30;65;35;29;-;46245
".....  MOEDA";-;4;2;15;13;13;20;12;31;36;52;48;82;59;42;51;38;19;11;15;7;1;4;6;1;1;1;2;-;-;-;1;-;2;-;1;1;1;-;-;-;1;-;-;593
".....  SABARA";-;131;246;412;637;1091;1369;1234;1745;1725;1569;1608;1694;1179;1148;1003;908;658;452;357;275;166;118;87;38;45;19;28;15;9;9;13;18;3;5;-;6;9;16;16;11;7;1;-;20080
".....  BELO HORIZONTE";-;1512;2635;4073;7004;11078;15037;14487;22054;23925;23642;22689;21816;16862;17142;14206;10876;8591;6418;5051;3811;2937;1956;1371;1086;1100;704;780;466;256;255;180;268;173;261;193;212;199;196;212;202;144;61;-;266121
".....  TAQUARACU DE MINAS";-;1;6;22;50;73;112;92;95;94;159;115;156;81;76;80;30;36;24;14;8;7;-;-;-;3;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1336
".....  BELO VALE";-;2;1;3;15;40;38;28;44;145;65;149;46;109;56;72;45;45;26;35;16;3;1;3;-;1;-;-;-;-;-;-;1;-;1;-;1;1;1;1;-;-;-;-;994
".....  NOVA LIMA";-;57;101;215;384;652;820;810;1278;1405;1351;1413;1587;1236;1195;1278;896;684;535;366;346;210;158;192;123;65;58;24;36;22;21;15;7;10;19;12;14;5;9;20;40;8;10;1;17688
".....  CAETE";-;5;11;27;36;194;363;443;551;581;650;616;673;549;553;521;379;246;190;146;95;75;32;26;19;17;10;7;1;2;-;-;3;1;1;2;-;4;2;2;2;1;1;-;7037
".....  NOVA UNIAO";-;1;4;5;5;17;26;43;48;39;68;31;6;4;5;14;2;2;3;1;3;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;329
".....  RIO ACIMA";-;3;10;26;40;89;138;175;200;170;148;84;68;56;51;44;26;17;9;25;12;15;4;4;1;3;5;4;5;8;4;3;1;1;2;1;1;3;2;2;2;1;-;-;1463
".....  JABOTICATUBAS";-;15;31;68;101;164;180;172;181;161;156;140;66;123;93;71;52;36;27;26;22;17;13;11;7;8;3;3;1;3;2;-;1;1;-;3;2;-;1;-;3;-;-;-;1964
".....  SANTA LUZIA";-;137;337;620;1303;2139;2526;2634;3404;2504;2350;2017;1610;1097;955;619;550;505;394;354;264;250;159;92;98;120;125;75;49;57;44;31;39;32;43;29;16;12;25;18;19;8;3;1;27664
"31017 Betim";-;1229;1843;2820;4213;6318;7541;5785;8812;8386;7780;7833;6581;4807;4209;4615;5451;2889;2098;1826;1379;1100;1617;591;417;278;184;133;84;70;57;52;57;45;53;39;29;34;29;58;63;41;12;-;101458
".....  RIO MANSO";-;9;23;14;37;54;129;81;113;128;66;95;117;77;86;67;25;10;33;7;4;2;4;3;6;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1193
".....  JUATUBA";-;54;77;65;144;171;211;93;162;149;105;134;75;58;62;50;98;34;60;30;20;13;18;43;15;5;4;5;2;-;1;2;2;2;-;-;1;1;1;2;2;2;1;-;1974
".....  MATEUS LEME";-;208;297;430;450;487;581;306;326;323;229;190;132;100;89;94;95;55;33;27;30;22;18;14;7;6;2;2;2;-;-;1;2;2;1;2;3;-;-;2;2;5;4;-;4579
".....  FLORESTAL";-;5;14;17;37;95;83;56;236;215;260;327;208;176;157;192;74;47;43;32;29;15;17;9;12;1;-;1;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2361
".....  CRUCILANDIA";-;6;3;17;14;52;76;83;146;174;199;135;147;107;88;67;56;39;21;12;16;8;7;4;1;1;6;7;-;-;-;2;-;-;-;1;1;1;-;3;1;1;-;-;1502
".....  MARIO CAMPOS";-;125;189;243;294;314;284;162;199;133;90;84;52;33;20;39;67;27;25;19;19;12;27;7;10;4;3;2;4;3;2;-;-;1;-;1;2;2;-;-;-;-;1;-;2499
".....  BETIM";-;236;482;1193;2152;3581;4340;3380;4853;4737;4626;4690;4015;3010;2462;2871;3810;1949;1372;1248;925;740;1266;338;270;166;111;76;44;30;41;29;34;29;18;22;11;22;16;33;33;28;5;-;59294
".....  BONFIM";-;5;10;8;15;17;44;42;34;48;40;33;41;47;56;42;35;12;13;22;8;8;8;4;-;1;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;597
".....  SAO JOAQUIM DE BICAS";-;91;124;193;307;354;256;85;341;407;213;321;144;103;141;142;226;94;80;94;109;79;79;56;27;26;14;11;8;17;5;1;4;5;1;2;1;1;2;3;5;-;-;-;4172
".....  ESMERALDAS";-;29;71;90;151;267;379;384;690;742;894;771;801;537;609;537;415;367;279;176;129;91;69;52;34;32;23;14;5;6;4;8;6;2;6;6;3;3;-;2;7;1;-;-;8692
".....  IGARAPE";-;334;358;202;254;249;239;167;407;149;202;316;125;68;79;113;193;71;24;28;19;39;39;19;4;11;2;4;2;3;-;3;3;2;25;1;1;-;2;6;8;1;-;-;3772
".....  BRUMADINHO";-;127;193;345;352;672;907;918;1280;1165;851;737;710;467;335;389;354;183;113;127;71;71;64;40;31;23;16;11;15;11;4;6;6;2;2;4;6;3;7;6;5;3;1;-;10633
".....  PIEDADE DOS GERAIS";-;-;2;3;6;5;12;28;25;16;5;-;14;24;25;12;3;1;2;4;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;190
"31018 Contagem";-;734;1319;1875;3322;5758;7935;6682;10460;10251;10907;10095;8732;6878;7182;6519;5451;3928;2701;2094;1580;1198;1042;663;555;392;243;178;138;83;86;73;95;64;68;63;59;71;59;83;66;48;41;-;119771
".....  CONTAGEM";-;331;702;1065;2099;3784;5615;5162;8091;8348;8820;8146;7121;5797;6043;5518;4490;3329;2253;1692;1283;957;809;538;445;321;201;151;107;61;68;53;77;43;53;43;52;57;50;58;59;38;32;-;93962
".....  IBIRITE";-;235;420;575;963;1697;2079;1396;2076;1691;1892;1601;1473;1021;1043;892;776;542;396;372;268;229;172;97;95;60;38;22;29;20;16;19;16;17;13;11;4;7;8;19;6;7;3;-;22316
".....  SARZEDO";-;168;197;235;260;277;241;124;293;212;195;348;138;60;96;109;185;57;52;30;29;12;61;28;15;11;4;5;2;2;2;1;2;4;2;9;3;7;1;6;1;3;6;-;3493
"31019 Curvelo";-;788;1184;1483;1563;1477;1631;1422;1559;1323;1381;1271;981;667;739;642;497;427;345;278;237;180;133;84;58;41;66;52;33;20;22;13;16;16;14;18;5;8;15;1;3;3;3;-;20699
".....  TRES MARIAS";-;14;54;71;155;215;243;244;313;324;255;190;159;86;140;106;92;95;81;83;49;42;33;18;10;6;11;9;6;3;4;5;7;5;7;2;1;1;2;-;-;-;-;-;3141
".....  SANTO HIPOLITO";-;9;27;26;35;62;52;54;67;55;32;32;17;16;13;9;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;508
".....  BUENOPOLIS";-;2;14;27;40;74;67;65;90;78;34;29;15;6;3;8;2;2;2;-;1;2;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;565
".....  AUGUSTO DE LIMA";-;-;-;9;10;42;34;34;64;64;60;66;46;40;42;53;24;13;4;7;4;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;620
".....  CORINTO";-;-;18;46;127;166;192;197;203;170;291;298;264;183;196;148;92;117;85;62;71;50;29;4;4;-;2;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;3018
".....  FELIXLANDIA";-;173;260;240;263;259;275;234;177;168;118;124;91;54;54;62;81;52;68;46;54;33;28;26;31;20;34;31;18;16;18;5;5;9;7;11;2;4;6;1;2;2;1;-;3163
".....  CURVELO";-;533;721;863;642;346;414;348;381;261;463;439;319;241;228;211;189;116;91;71;52;46;38;28;11;13;18;11;6;1;-;3;2;2;-;2;2;3;4;-;1;1;1;-;7122
".....  PRESIDENTE JUSCELINO";-;15;13;30;71;85;107;107;85;76;48;34;33;14;29;17;10;12;5;5;2;5;1;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;807
".....  MONJOLOS";-;7;28;58;109;112;142;101;85;53;29;20;13;5;15;7;-;3;1;2;1;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;794
".....  INIMUTABA";-;27;34;103;104;104;91;35;91;74;47;32;22;20;17;19;6;11;4;2;2;2;2;2;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;854
".....  MORRO DA GARCA";-;8;15;10;7;12;14;3;3;-;4;7;2;2;2;2;1;5;3;-;1;-;1;1;1;-;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;107
"31020 Guanhães";-;37;55;68;132;203;260;314;444;602;646;648;835;673;652;712;462;363;288;291;168;192;104;79;40;19;13;12;12;15;7;7;8;3;1;4;5;2;2;8;1;2;6;-;8395
".....  VIRGINOPOLIS";-;1;3;2;3;15;20;55;66;115;88;195;167;173;90;65;-;-;1;2;13;57;25;27;15;6;4;1;3;-;-;1;-;-;-;1;3;-;-;1;-;-;-;-;1218
".....  RIO VERMELHO";-;27;28;30;47;60;45;21;13;29;20;15;10;14;8;20;10;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;399
".....  SENHORA DO PORTO";-;-;-;1;5;8;23;30;32;75;69;44;46;8;41;20;18;12;9;8;4;1;2;1;1;-;1;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;462
".....  DORES DE GUANHAES";-;1;8;3;9;26;12;30;42;15;22;40;33;26;11;11;-;5;8;2;-;2;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;313
".....  GUANHAES";-;4;6;14;27;50;80;89;182;239;247;228;348;263;295;355;250;212;159;184;97;98;54;33;16;10;5;7;6;8;5;6;7;3;1;3;2;2;-;3;1;1;3;-;3603
".....  DOM JOAQUIM";-;3;2;2;6;8;4;12;20;23;38;32;56;67;46;26;16;19;3;3;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;388
".....  SABINOPOLIS";-;1;6;3;16;19;42;53;55;59;91;67;135;106;133;156;130;89;98;81;45;27;18;16;8;3;2;1;3;6;2;-;1;-;-;-;-;-;1;2;-;1;2;-;1478
".....  MATERLANDIA";-;-;1;9;7;4;22;20;19;42;48;17;31;13;25;35;12;11;4;9;5;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;336
".....  CARMESIA";-;-;1;4;12;13;12;4;15;5;23;10;9;3;3;24;26;14;6;2;4;6;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;198
"31021 Itabira";-;1226;2089;3035;3689;4733;5343;5280;4726;5165;4173;3528;3464;2318;2096;2061;2006;1279;1224;825;596;384;253;162;103;70;64;61;44;22;20;26;42;44;14;22;23;25;57;59;38;58;41;-;60488
".....  SANTA MARIA DE ITABIRA";-;83;123;113;285;416;411;252;201;142;91;84;71;45;40;34;29;16;26;21;38;17;7;11;3;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2564
".....  SANTA BARBARA";-;457;663;846;764;610;633;598;543;691;376;363;260;138;124;172;134;86;84;54;29;20;1;9;7;5;7;4;-;1;1;1;2;2;-;1;-;-;-;1;-;1;-;-;7688
".....  FERROS";-;72;67;54;64;58;85;67;36;47;37;29;27;18;17;14;18;8;14;10;6;2;2;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;757
".....  SANTO ANTONIO DO RIO ABAIXO";-;-;-;4;1;4;12;9;9;10;29;17;19;26;16;3;3;1;2;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;168
".....  SAO GONCALO DO RIO ABAIXO";-;13;50;111;145;194;221;200;249;260;219;228;218;168;168;181;187;153;142;83;76;64;62;23;22;23;13;28;12;6;4;5;14;1;1;4;2;12;30;26;15;27;-;-;3660
".....  ITABIRA";-;465;895;1319;1852;3078;3607;3812;3283;3228;2985;2200;2306;1599;1367;1266;1395;927;816;556;405;249;141;80;60;32;33;18;24;6;12;11;21;34;11;11;15;6;18;26;19;21;40;-;38249
".....  SAO SEBASTIAO DO RIO PRETO";-;-;-;14;2;3;1;4;16;5;12;21;18;2;11;9;4;2;2;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;128
".....  MORRO DO PILAR";-;2;-;14;15;46;34;65;70;71;59;34;27;23;18;8;1;5;1;2;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;498
".....  BOM JESUS DO AMPARO";-;2;2;7;10;13;38;31;41;51;61;81;51;14;13;16;10;8;5;4;11;3;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;479
".....  PASSABEM";-;-;4;9;1;3;7;12;4;29;11;1;20;6;4;17;5;4;11;10;2;-;1;2;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;167
".....  ITAMBE DO MATO DENTRO";-;-;-;3;4;19;28;23;37;21;27;21;29;46;31;9;5;10;8;17;3;6;2;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;352
".....  CATAS ALTAS";-;31;59;109;167;178;211;145;179;162;157;102;91;31;42;44;31;25;22;8;1;1;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1799
".....  BARAO DE COCAIS";-;101;226;432;379;111;55;62;58;448;109;347;327;202;245;288;184;34;91;58;24;22;30;32;5;8;9;9;7;9;3;9;5;7;2;5;6;7;9;4;2;7;1;-;3979
"31022 Ouro Preto";-;62;75;143;323;426;520;787;1105;1685;1589;1636;1746;1826;1747;1657;1427;1328;920;804;646;387;157;233;97;83;65;39;40;10;22;26;18;8;10;7;11;7;6;5;4;6;1;-;21694
".....  OURO PRETO";-;33;36;77;182;197;330;359;426;513;525;419;397;363;397;388;334;322;224;185;138;111;76;72;36;35;13;15;22;7;8;16;15;7;4;4;8;5;3;4;-;-;-;-;6306
".....  MARIANA";-;26;34;61;112;173;140;327;532;955;807;883;1056;893;933;936;607;491;397;312;197;132;71;58;27;19;22;6;9;1;5;6;-;-;2;3;3;1;2;1;2;4;1;-;10247
".....  ITABIRITO";-;3;5;5;29;56;50;101;147;217;257;334;293;570;417;333;486;515;299;307;311;144;10;103;34;29;30;18;9;2;9;4;3;1;4;-;-;1;1;-;2;2;-;-;5141
"31023 João Monlevade";-;41;95;212;609;991;1306;1551;2075;2349;2261;1956;1970;1450;1588;1268;930;707;493;425;316;213;101;70;32;28;14;7;6;4;6;2;4;10;8;7;5;4;5;4;15;13;6;1;23158
".....  RIO PIRACICABA";-;4;5;19;31;92;134;182;240;244;239;223;236;194;195;169;133;111;45;74;43;38;20;8;3;3;1;2;2;2;3;-;3;2;1;1;2;1;-;-;-;-;4;-;2709
".....  BELA VISTA DE MINAS";-;2;8;18;43;75;140;182;177;244;315;115;104;52;66;87;37;18;16;19;4;3;9;6;-;-;-;-;-;2;2;-;-;1;-;-;1;1;-;2;-;-;-;-;1749
".....  JOAO MONLEVADE";-;23;29;90;254;452;669;808;992;1208;1122;1159;1192;948;992;768;580;431;358;275;230;164;70;51;28;24;11;5;3;-;1;2;1;7;7;5;1;2;1;2;15;13;1;1;12995
".....  SAO DOMINGOS DO PRATA";-;7;18;40;96;164;239;259;273;336;329;228;271;113;230;164;112;79;49;29;34;8;2;5;1;1;2;-;1;-;-;-;-;-;-;-;1;-;4;-;-;-;1;-;3096
".....  NOVA ERA";-;5;35;45;185;208;124;120;393;317;256;231;167;143;105;80;68;68;25;28;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2609
"31024 Sete Lagoas";1;558;1070;1531;2338;2471;2888;2669;3682;3470;3407;3026;2446;1617;1398;1221;1030;696;480;385;269;189;117;78;59;43;61;35;30;19;16;10;8;4;4;17;10;10;24;30;22;30;3;-;37472
